series,date,hour,bucket,price,model_p,edge,won,determined,source
KXHIGHNY,2026-06-01,15,70-71,0.905,0.8845,-0.020500000000000074,True,False,metar_6h_group
KXHIGHNY,2026-06-01,16,72-73,0.055,0.0484,-0.006600000000000002,False,True,metar_6h_group
KXHIGHNY,2026-06-01,16,70-71,0.895,0.9516,0.056599999999999984,True,True,metar_6h_group
KXHIGHNY,2026-06-02,13,79-80,0.04,0.10369009900990107,0.06369009900990108,False,False,hourly_snapshot
KXHIGHNY,2026-06-02,13,77-78,0.745,0.3617603960396039,-0.3832396039603961,False,False,hourly_snapshot
KXHIGHNY,2026-06-02,13,75-76,0.22499999999999998,0.49059405940594103,0.26559405940594105,True,False,hourly_snapshot
KXHIGHNY,2026-06-02,14,77-78,0.45999999999999996,0.21520000000000006,-0.2447999999999999,False,False,metar_6h_group
KXHIGHNY,2026-06-02,14,75-76,0.56,0.7533,0.19329999999999992,True,False,metar_6h_group
KXHIGHNY,2026-06-02,15,77-78,0.575,0.5932554455445557,0.018255445544555715,False,False,hourly_snapshot
KXHIGHNY,2026-06-02,15,75-76,0.405,0.2802376237623763,-0.1247623762376237,True,False,hourly_snapshot
KXHIGHNY,2026-06-02,16,77-78,0.59,0.594887128712871,0.004887128712871003,False,False,hourly_snapshot
KXHIGHNY,2026-06-02,16,75-76,0.4,0.30149702970297027,-0.09850297029702976,True,False,hourly_snapshot
KXHIGHNY,2026-06-02,17,77-78,0.11,0.5950019801980198,0.48500198019801977,False,False,hourly_snapshot
KXHIGHNY,2026-06-02,17,75-76,0.88,0.31268118811881196,-0.567318811881188,True,False,hourly_snapshot
KXHIGHNY,2026-06-02,18,77-78,0.03,0.5935445544554456,0.5635445544554456,False,False,hourly_snapshot
KXHIGHNY,2026-06-02,18,75-76,0.95,0.3155960396039604,-0.6344039603960396,True,False,hourly_snapshot
KXHIGHNY,2026-06-03,13,82-83,0.775,0.3617603960396039,-0.4132396039603961,True,False,hourly_snapshot
KXHIGHNY,2026-06-03,13,80-81,0.045,0.49059405940594103,0.44559405940594105,False,False,hourly_snapshot
KXHIGHNY,2026-06-03,14,82-83,0.8200000000000001,0.8937,0.07369999999999999,True,False,metar_6h_group
KXHIGHNY,2026-06-03,15,82-83,0.885,0.9619,0.07689999999999997,True,False,metar_6h_group
KXHIGHNY,2026-06-03,16,82-83,0.945,0.9843,0.0393,True,False,metar_6h_group
KXHIGHNY,2026-06-04,13,88-89,0.065,0.10369009900990107,0.03869009900990107,False,False,hourly_snapshot
KXHIGHNY,2026-06-04,13,86-87,0.77,0.3617603960396039,-0.4082396039603961,True,False,hourly_snapshot
KXHIGHNY,2026-06-04,13,84-85,0.16499999999999998,0.49059405940594103,0.32559405940594105,False,False,hourly_snapshot
KXHIGHNY,2026-06-04,14,88-89,0.08499999999999999,0.09319999999999995,0.008199999999999957,False,False,metar_6h_group
KXHIGHNY,2026-06-04,14,86-87,0.9299999999999999,0.8937,-0.03629999999999989,True,False,metar_6h_group
KXHIGHNY,2026-06-05,13,91-92,0.10500000000000001,0.051189108910891054,-0.053810891089108956,False,False,hourly_snapshot
KXHIGHNY,2026-06-05,13,89-90,0.765,0.2100920792079213,-0.5549079207920787,False,False,hourly_snapshot
KXHIGHNY,2026-06-05,13,87-88,0.16,0.5341782178217822,0.3741782178217822,True,False,hourly_snapshot
KXHIGHNY,2026-06-05,14,89-90,0.46499999999999997,0.09319999999999995,-0.3718,False,False,metar_6h_group
KXHIGHNY,2026-06-05,14,87-88,0.5549999999999999,0.8937,0.3387000000000001,True,False,metar_6h_group
KXHIGHNY,2026-06-05,15,89-90,0.22999999999999998,0.03290000000000004,-0.19709999999999994,False,False,metar_6h_group
KXHIGHNY,2026-06-05,15,87-88,0.77,0.9619,0.19189999999999996,True,False,metar_6h_group
KXHIGHNY,2026-06-05,16,89-90,0.125,0.015700000000000047,-0.10929999999999995,False,False,metar_6h_group
KXHIGHNY,2026-06-05,16,87-88,0.89,0.9843,0.09429999999999994,True,False,metar_6h_group
KXHIGHNY,2026-06-05,17,89-90,0.035,0.0026000000000000467,-0.03239999999999996,False,False,metar_6h_group
KXHIGHNY,2026-06-05,17,87-88,0.92,0.9974,0.07739999999999991,True,False,metar_6h_group
KXHIGHNY,2026-06-06,13,91-92,0.135,0.02638316831683165,-0.10861683168316835,False,False,hourly_snapshot
KXHIGHNY,2026-06-06,13,89-90,0.45499999999999996,0.10369009900990107,-0.3513099009900989,False,False,hourly_snapshot
